dimension_type,dimension_code_or_name,dimension_label,official_mechanism_code,official_mechanism_label,source_row_count,distinct_partner_display_alias_count,source_row_numbers,fact_layer,human_gate,interpretation_limit
official_issue_field,13,子どもの教育及び健全育成を図る事業,6,後援,30,28,514;515;516;518;523;525;526;527;528;530;532;534;545;552;574;575;576;577;578;579;580;581;582;588;591;595;596;598;608;610,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,13,子どもの教育及び健全育成を図る事業,7,実行委員会等,3,3,592;593;609,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,13,子どもの教育及び健全育成を図る事業,8,事業協力,4,4,498;553;569;589,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,13,子どもの教育及び健全育成を図る事業,9,講師等,2,2,499;594,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,13,子どもの教育及び健全育成を図る事業,10,その他,0,0,,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,14,情報化社会の発展を図る事業,1,委託,6,5,443;444;445;446;447;448,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,14,情報化社会の発展を図る事業,2,提案型公募による委託,0,0,,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,14,情報化社会の発展を図る事業,3,指定管理者制度による委任,0,0,,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,14,情報化社会の発展を図る事業,4,補助,0,0,,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,14,情報化社会の発展を図る事業,5,共催,1,1,456,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
